ITERATION	avg. Average Leg distance	avg. Average Trip distance
246	11164.609053497943	11164.609053497943	
247	11098.765432098766	11098.765432098766	
248	11148.148148148148	11148.148148148148	
249	11193.415637860082	11193.415637860082	
250	11115.22633744856	11115.22633744856	
251	11135.802469135802	11135.802469135802	
252	11135.802469135802	11135.802469135802	
253	11176.954732510289	11176.954732510289	
254	11123.456790123457	11123.456790123457	
255	11148.148148148148	11148.148148148148	
256	11172.839506172839	11172.839506172839	
257	11172.839506172839	11172.839506172839	
258	11139.91769547325	11139.91769547325	
259	11172.839506172839	11172.839506172839	
260	11197.530864197532	11197.530864197532	
261	11226.33744855967	11226.33744855967	
262	11226.33744855967	11226.33744855967	
263	11181.069958847736	11181.069958847736	
264	11242.798353909466	11242.798353909466	
265	11201.64609053498	11201.64609053498	
266	11172.839506172839	11172.839506172839	
267	11209.876543209877	11209.876543209877	
268	11189.300411522634	11189.300411522634	
269	11218.106995884773	11218.106995884773	
270	11181.069958847736	11181.069958847736	
271	11168.724279835391	11168.724279835391	
272	11230.45267489712	11230.45267489712	
273	11189.300411522634	11189.300411522634	
274	11230.45267489712	11230.45267489712	
275	11197.530864197532	11197.530864197532	
276	11181.069958847736	11181.069958847736	
277	11148.148148148148	11148.148148148148	
278	11209.876543209877	11209.876543209877	
279	11189.300411522634	11189.300411522634	
280	11230.45267489712	11230.45267489712	
281	11168.724279835391	11168.724279835391	
282	11164.609053497943	11164.609053497943	
283	11181.069958847736	11181.069958847736	
284	11131.687242798354	11131.687242798354	
285	11259.25925925926	11259.25925925926	
286	11246.913580246914	11246.913580246914	
287	11213.991769547325	11213.991769547325	
288	11271.604938271605	11271.604938271605	
289	11251.028806584362	11251.028806584362	
290	11197.530864197532	11197.530864197532	
291	11172.839506172839	11172.839506172839	
292	11139.91769547325	11139.91769547325	
293	11156.378600823045	11156.378600823045	
294	11168.724279835391	11168.724279835391	
295	11156.378600823045	11156.378600823045	
296	11148.148148148148	11148.148148148148	
297	11148.148148148148	11148.148148148148	
298	11156.378600823045	11156.378600823045	
299	11164.609053497943	11164.609053497943	
300	11168.724279835391	11168.724279835391	
301	11152.263374485598	11152.263374485598	
302	11172.839506172839	11172.839506172839	
303	11111.111111111111	11111.111111111111	
304	11152.263374485598	11152.263374485598	
305	11168.724279835391	11168.724279835391	
306	11139.91769547325	11139.91769547325	
307	11181.069958847736	11181.069958847736	
308	11181.069958847736	11181.069958847736	
309	11168.724279835391	11168.724279835391	
310	11193.415637860082	11193.415637860082	
311	11139.91769547325	11139.91769547325	
312	11123.456790123457	11123.456790123457	
313	11119.341563786009	11119.341563786009	
314	11123.456790123457	11123.456790123457	
315	11123.456790123457	11123.456790123457	
316	11160.493827160493	11160.493827160493	
317	11176.954732510289	11176.954732510289	
318	11123.456790123457	11123.456790123457	
319	11160.493827160493	11160.493827160493	
320	11197.530864197532	11197.530864197532	
321	11123.456790123457	11123.456790123457	
322	11148.148148148148	11148.148148148148	
323	11123.456790123457	11123.456790123457	
324	11148.148148148148	11148.148148148148	
325	11185.185185185184	11185.185185185184	
326	11176.954732510289	11176.954732510289	
327	11082.30452674897	11082.30452674897	
328	11111.111111111111	11111.111111111111	
329	11115.22633744856	11115.22633744856	
330	11139.91769547325	11139.91769547325	
331	11251.028806584362	11251.028806584362	
332	11106.995884773663	11106.995884773663	
333	11115.22633744856	11115.22633744856	
334	11127.572016460905	11127.572016460905	
335	11098.765432098766	11098.765432098766	
336	11111.111111111111	11111.111111111111	
337	11078.189300411523	11078.189300411523	
338	11144.0329218107	11144.0329218107	
