Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
39	17:45:25	17:45:25	17:45:25	17:45:25	17:45:25	17:45:25			17:45:25	17:45:25	17:45:25	17:45:25	17:45:35	17:45:35	17:45:35	17:45:35	17:45:35	17:45:35			17:45:36	17:45:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
40	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:36	17:45:45	17:45:45	17:45:45	17:45:45	17:45:45	17:45:45	17:45:45	17:45:45	17:45:46	17:45:46		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10
41	17:45:46	17:45:46	17:45:46	17:45:46	17:45:46	17:45:46			17:45:46	17:45:46	17:45:46	17:45:46	17:45:56	17:45:56	17:45:56	17:45:56	17:45:56	17:45:56			17:45:56	17:45:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
42	17:45:56	17:45:56	17:45:56	17:45:56	17:45:56	17:45:56			17:45:56	17:45:56	17:45:56	17:45:56	17:46:05	17:46:05	17:46:05	17:46:05	17:46:05	17:46:05			17:46:06	17:46:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
43	17:46:06	17:46:06	17:46:06	17:46:06	17:46:06	17:46:06			17:46:06	17:46:06	17:46:06	17:46:06	17:46:16	17:46:16	17:46:16	17:46:16	17:46:16	17:46:16			17:46:16	17:46:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
44	17:46:16	17:46:16	17:46:16	17:46:16	17:46:16	17:46:16			17:46:16	17:46:16	17:46:16	17:46:16	17:46:25	17:46:25	17:46:25	17:46:25	17:46:25	17:46:25			17:46:26	17:46:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
45	17:46:26	17:46:26	17:46:26	17:46:26	17:46:26	17:46:26			17:46:26	17:46:26	17:46:26	17:46:26	17:46:36	17:46:36	17:46:36	17:46:36	17:46:36	17:46:36			17:46:36	17:46:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
46	17:46:36	17:46:36	17:46:36	17:46:36	17:46:36	17:46:36			17:46:36	17:46:36	17:46:36	17:46:36	17:46:46	17:46:46	17:46:46	17:46:46	17:46:46	17:46:46			17:46:46	17:46:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
47	17:46:46	17:46:46	17:46:46	17:46:46	17:46:46	17:46:46			17:46:46	17:46:46	17:46:46	17:46:46	17:46:56	17:46:56	17:46:56	17:46:56	17:46:56	17:46:56			17:46:57	17:46:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
48	17:46:57	17:46:57	17:46:57	17:46:57	17:46:57	17:46:57			17:46:57	17:46:57	17:46:57	17:46:57	17:47:06	17:47:06	17:47:06	17:47:06	17:47:06	17:47:06			17:47:07	17:47:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
49	17:47:07	17:47:07	17:47:07	17:47:07	17:47:07	17:47:07			17:47:07	17:47:07	17:47:07	17:47:07	17:47:17	17:47:17	17:47:17	17:47:17	17:47:17	17:47:17			17:47:18	17:47:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
50	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:18	17:47:29	17:47:29	17:47:29	17:47:29	17:47:29	17:47:29	17:47:29	17:47:29	17:47:29	17:47:29		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11
51	17:47:30	17:47:30	17:47:30	17:47:30	17:47:30	17:47:30			17:47:30	17:47:30	17:47:30	17:47:30	17:47:39	17:47:39	17:47:39	17:47:39	17:47:39	17:47:39			17:47:39	17:47:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
52	17:47:39	17:47:39	17:47:39	17:47:39	17:47:39	17:47:39			17:47:39	17:47:39	17:47:39	17:47:39	17:47:49	17:47:49	17:47:49	17:47:49	17:47:49	17:47:49			17:47:50	17:47:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
53	17:47:50	17:47:50	17:47:50	17:47:50	17:47:50	17:47:50			17:47:50	17:47:50	17:47:50	17:47:50	17:47:59	17:47:59	17:47:59	17:47:59	17:47:59	17:47:59			17:48:00	17:48:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
54	17:48:00	17:48:00	17:48:00	17:48:00	17:48:00	17:48:00			17:48:00	17:48:00	17:48:00	17:48:00	17:48:10	17:48:10	17:48:10	17:48:10	17:48:10	17:48:10			17:48:12	17:48:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:01	00:00:11
